,Ti,Te,phi_h,Rie,Rea,Ci,Ce,Ai,v1,y1,Ta,phi_s,P0_scale
2025-02-14 18:30:00+01:00,295.31029385339497,295.30611590175266,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.04615059104948192,295.35644444444443,271.31277777777774,0.0,0.07142857142857142
2025-02-14 18:45:00+01:00,295.27849114700655,295.27415332042466,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.07317551966006887,295.35166666666663,271.08077777777777,0.0,0.07142857142857142
2025-02-14 19:00:00+01:00,295.24626661251784,295.2419757083957,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.10373338748212507,295.34999999999997,271.0274444444444,0.0,0.07142857142857142
2025-02-14 19:15:00+01:00,295.2140774478882,295.20974909225737,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.13447810766737414,295.34855555555555,270.95,0.0,0.07142857142857142
2025-02-14 19:30:00+01:00,295.1817912860124,295.17747440903673,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.1365420473209305,295.3183333333333,270.92344444444444,0.0,0.07142857142857142
2025-02-14 19:45:00+01:00,295.1495258400055,295.1452030314417,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.10980749332781431,295.2593333333333,270.9374444444444,0.0,0.07142857142857142
2025-02-14 20:00:00+01:00,295.11730419737995,295.11299904959105,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.1303624692866919,295.24766666666665,270.94888888888886,0.0,0.07142857142857142
2025-02-14 20:15:00+01:00,295.08515301577495,295.08084907448665,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.11318031755836161,295.1983333333333,271.05199999999996,0.37333333333333335,0.07142857142857142
2025-02-14 20:30:00+01:00,295.05361123882716,295.04914082192596,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.09627765006172424,295.1498888888889,271.2983333333333,0.8811111111111111,0.07142857142857142
2025-02-14 20:45:00+01:00,295.0227918323919,295.0182345900827,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.07776372316370105,295.10055555555556,271.61144444444443,0.9944444444444445,0.07142857142857142
2025-02-14 21:00:00+01:00,294.99238363000245,294.9879236131249,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.0585052588864552,295.0508888888889,271.92866666666663,0.57,0.07142857142857142
2025-02-14 21:15:00+01:00,294.9619612361861,294.9577736088297,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.08637209714720871,295.0483333333333,272.0185555555555,0.005555555555555556,0.07142857142857142
2025-02-14 21:30:00+01:00,294.9313204402019,294.92729852526634,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.061012893131433245,294.9923333333333,271.93911111111106,0.0,0.07142857142857142
2025-02-14 21:45:00+01:00,294.9008262467783,294.8966827626705,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.05606264211054356,294.95688888888884,271.84999999999997,0.011111111111111112,0.07142857142857142
2025-02-14 22:00:00+01:00,294.87012858634296,294.86604241399226,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.07820474699037779,294.9483333333333,271.84999999999997,0.2511111111111111,0.07142857142857142
2025-02-14 22:15:00+01:00,294.8398311726241,294.8355837165297,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.07127993848700527,294.9111111111111,0.0,0.0,0.07142857142857142

